['Uzaylı Avcısı Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['SHERIFF', 'feaf05a1-492f-d154-a9f5-0eb1fe9a603e']
['KONVEKS SHERIFF', '4538bff7-470c-889c-9875-7ba3ebf87c87']
['Ahşap Sheriff', '5fb2a965-4cd9-0564-c8b1-51895ba7718a']
['Viran Sheriff', '0d73596b-478a-dae0-49ca-2fa588f78f13']
['OYUN BİTTİ SHERIFF', '443f5a29-4d5e-d63e-a3c6-ada7713172fa']
['Arcane Sheriff', '9ee1d68f-4b51-8ef1-b620-efa9760b0d02']
['2. Seviye Arcane Sheriff', '114a5ce1-43ac-2cd8-3a9a-adbdfa32220e']
['SON DİLEK SHERIFF', 'a07ff70b-4b4b-ee36-78f5-8ba771b278ac']
['Yıldız Belası Shorty', 'f41c7d7c-4701-1612-f375-7fbfa52b7ac7']
['2. Seviye Yıldız Belası Shorty', 'ed37bd4b-48fa-3d51-49ae-19be0780a290']
['3. Seviye Yıldız Belası Shorty', '6089c5d0-4fb4-cf2d-3940-adb2a1d97b16']
['4. Seviye Yıldız Belası Shorty', '60ffb9eb-430e-5920-6418-aaaca3b566b4']
['Neptün Shorty', '93266c2b-400f-da62-24a0-739f51d33cc1']
['2. Seviye Neptün Shorty', 'e40ba2a2-4b91-8144-0b62-7c8ede15bced']
['3. Seviye Neptün Shorty', 'e70308c1-437a-d393-5c9a-7386bf8a7e28']
['Karabasan Shorty', 'f1f9cde8-4810-86a0-1c95-4ab214d4f6b8']
['Rün Cevheri Shorty', 'f990616a-44ab-ec78-fe3d-8b9ce27a5d18']
['Kaosun Başlangıcı Shorty', '09fded5d-4add-00e7-d3c4-32b8f21c7944']
['2. Seviye Kaosun Başlangıcı Shorty', 'a0708cc3-4f93-228c-fba0-b3938c5efea5']
['3. Seviye Kaosun Başlangıcı Shorty', 'c977106d-4dc7-bbcd-74e4-efab54475915']
['4. Seviye Kaosun Başlangıcı Shorty', '8ca69aa7-451a-1af5-e897-3b9d309e82a4']
['Karikatürize Shorty', 'deb200a8-447c-0e47-5b92-e8aeb9cd5525']
['2. Seviye Karikatürize Shorty', 'ba0193f6-4c7d-1b7f-b9dc-4e883a6ba21a']
['KOLEKTİF SHORTY', 'd0a95805-4adb-95f7-3955-339d89769bec']
['Hızlı ve Ölümcül Shorty', 'c6db7920-4d61-556e-7c06-19954b847cbe']
['ALTIN AFET SHORTY', '907bab1f-4fca-982e-7645-41a941ef6626']
['HÜKÜMDAR SHORTY', 'a8718add-47cd-30ad-12cf-eea925286a91']
['Prizma II Shorty\n', '61f62d77-4f80-7664-2ea9-538f6fc4b241']
['DÂHİ ÇOCUK SHORTY', 'f9688e62-42c5-9f10-f160-49abaee2e02c']
['Başlangıç Shorty', 'f5f8fb4f-4c3a-ee60-ed0c-bfb8cded09fc']
['Oni Shorty', 'a2950772-447a-f2db-be24-19b0e0ed736f']
['2. Seviye Oni Shorty', '75a66462-49d7-134a-03e1-bc8c3b7fda7a']
['3. Seviye Oni Shorty', '02461d7f-4f0a-f25f-94b2-ee960d0734d7']
['4. Seviye Oni Shorty', '25e2a599-4564-708a-b80e-afbeb6781372']
['ZEHİRDİŞ SHORTY', '6f90d1ed-4acc-d925-4a8a-60913f14d16b']
['Alaca Shorty', '31629ef7-47ac-908e-369b-16beabc02c5b']
['Rasgele Favori Kaplama', '6afa5e36-4a90-7a2c-30b7-23be5ba2588b']
['SHORTY', 'a7f92a1c-4465-5ea3-7745-bd876117f4a7']
['Havalı Shorty', '1db941af-4587-c6a4-5885-dbb77fefcb32']
['Kaplan Shorty', '9f282aa1-4d3e-7595-83ca-0a97fc89ba31']
['Kâşif Shorty', '673149d4-463f-27a5-163f-78a599244fc3']
['Viran Shorty', 'a88a4c80-4913-a111-0fba-878adddd381a']
['RGX 11z Pro Operator', '2ad7a62f-4091-ecba-de21-d19edfb41086']
['2. Seviye RGX 11z Pro Operator', '873e2729-4986-6471-2c75-298a5e9205e3']
['3. Seviye RGX 11z Pro Operator', '6c940bdf-45a9-583f-7d14-028b380ed37b']
['4. Seviye RGX 11z Pro Operator', '2f1221b2-4e99-a2e7-4f63-0e9c6dab5b62']
['5. Seviye RGX 11z Pro Operator', '2084911a-479d-14e5-13b4-b3856a39885e']
['VALORANT GO! 2. Cilt Operator', '68811d2b-4a6d-cbdc-39d3-f580aa97a297']
['Yıldız Belası Operator', 'bf2da3c9-43aa-5a37-9958-2a805298951f']
['2. Seviye Yıldız Belası Operator', '0dca1fcb-4484-5e4d-f15c-a3985b2bec33']
['3. Seviye Yıldız Belası Operator', '4e0b18ce-4658-bdfd-7097-17bffb168886']
['4. Seviye Yıldız Belası Operator', '34ccb66a-489f-f120-b9ef-739f4af36549']
['Ufkun Sınırı Operator', 'fd486ca0-4d52-4e9b-ec35-dc8cd450b679']
['Köken Operator', '4d19c241-4350-6658-f5a6-5c99ca8e5e99']
['2. Seviye Köken Operator', 'b225c7d3-4ab2-e703-1e5a-f2885730e81c']
['3. Seviye Köken Operator', 'a2fff901-4bf8-3029-ab04-da96f8b9a73e']
['4. Seviye Köken Operator', '99bf69d9-4451-cfb4-456f-c3b5cc4fcf5e']
['Hücum Operator', '3cd5ed19-405b-9600-489f-4e84900ea2d3']
['KIRMIZI ALARM OPERATOR', 'fc4c9003-4069-d351-e0b5-03b509638c2c']
['Delipop Operator', 'd92a6ee6-4073-8b7f-e944-f1a55606a28a']
['2. Seviye Delipop Operator', 'e2b3a374-4e26-0d5c-45cd-9490013b21ef']
['3. Seviye Delipop Operator', '95695ed5-4b4b-01a9-ba22-86981af7d2f2']
['4. Seviye Delipop Operator', 'e177f0db-46fc-d779-fbea-d488780c322c']
['Kaosun Başlangıcı Operator', '7c89312b-45fb-a892-4525-659ba3de4475']
['2. Seviye Kaosun Başlangıcı Operator', '2532802b-4090-340a-1ebc-7cad0600d09a']
['3. Seviye Kaosun Başlangıcı Operator', '79d28c39-4418-2b35-74ef-989c4e270f87']
['4. Seviye Kaosun Başlangıcı Operator', '77b80391-46c8-f950-0f28-15bf5dea85b6']
['Ejder Ateşi Operator', '5c273d0e-47fa-bb8c-d914-728de95da30e']
['2. Seviye Ejder Ateşi Operator', 'ea7094b7-4f29-2570-0003-14a9b872fc19']
['3. Seviye Ejder Ateşi Operator', '02567ece-47a2-a68b-7853-668f45ab0ab0']
['4. Seviye Ejder Ateşi Operator', '41ad7696-47bf-cd88-115b-9cb17ad77919']
['Nitro Operator', 'f49ac94f-4965-1e13-e293-a9838b042a83']
['Yitik Operator', '10a5fe91-4efa-9d6b-44f7-47ae9660550d']
['2. Seviye Yitik Operator', '995b9baa-4335-6ff8-5868-bba728958de5']
['3. Seviye Yitik Operator', 'd542977e-4c98-1e6a-583f-7fa169afabba']
['4. Seviye Yitik Operator', 'a2774d57-4703-9acc-7cd9-a2895b754c51']
['Takımın Ası Operator', '4491f330-4d30-04f7-d609-4face7e5bd5f']
['Ateş Püsküren Operator', 'fd6e9471-490c-b17e-f17e-a7820f3d36a2']
['MUHAREBE OPERATOR', 'e7301730-418f-e0fb-c930-9598741d5c30']
['PRİZMA OPERATOR', '37851a69-4719-d8ae-d305-49bcee8d853c']
['K/TAK OPERATOR', 'e045334d-4b19-26df-739c-f89fd561714f']
['Kohaku ve Matsuba Operator', '1fe051aa-40e9-3ff6-585a-e384f0197224']
['İridyum Kesiği Operator', 'd4a5f5a7-4831-f240-fac7-bfa06b50cd73']
['GÖSTERİŞLİ OPERATOR', 'e5a2e04a-4805-1244-5376-06b40d7c6cbb']
['Sihirpunk Operator', '369c9f89-49fa-94bc-f3f8-b9b94b6395af']
['2. Seviye Sihirpunk Operator', 'f70b8147-4f4a-506e-6b3b-aca8b7b84f40']
['3. Seviye Sihirpunk Operator', '66cf7185-4989-a3c5-6ad3-fcb7858b81cb']
['4. Seviye Sihirpunk Operator', '7481ec87-4a9f-e4cf-d898-e0bd750e3b0c']
['Sarmal Operator', '4c053776-467f-2c6a-b609-0ba3ea371a14']
['MİNİMA OPERATOR', '436f42cc-49c5-b535-4fdf-c0bd48695919']
['SILVANUS OPERATOR', '49b00063-4a7e-6c73-b8c9-68a8d5727757']
['Başlangıç Operator', '8f557248-48e2-28a5-3ad4-eca783fde786']
['İyon Operator', '24c73c29-443c-2440-d6db-838086f2451a']
['2. Seviye İyon Operator', '8a0328e1-4067-ddaa-fb06-e6ab0c0c9a54']
['3. Seviye İyon Operator', '65888fca-4a1d-da64-8735-8495d86338ca']
['4. Seviye İyon Operator', '4ffc2ae6-4501-2c43-a105-f4977a0a207e']
['Soğuk Çelik Operator', '932f4704-44ec-b931-0141-a8b364c0f7b5']
['2. Seviye Soğuk Çelik Operator', 'f3bf94f9-4b58-cbe1-8c61-66a593c08b50']
['3. Seviye Soğuk Çelik Operator', '2513e405-456e-cc67-7aee-fea2c6f16595']
['Rasgele Favori Kaplama', 'd0ef50dc-4a62-1ac1-a276-1f8d1b47a7b0']
['Yerçekimsel Uranyum Nöroateşleyici Operator', '4aa31563-44e1-0d9f-f95a-a1b9965ad762']
['2. Seviye Yerçekimsel Uranyum Nöroateşleyici Operator', 'd3b07995-4ab5-7593-f3ff-b6ad7e8599d0']
['Işık Muhafızları Operator', '69657d05-4309-9779-d445-6da864067246']
['2. Seviye Işık Muhafızları Operator', '997e0365-4152-fcd5-dc81-e3bdfd012815']
['3. Seviye Işık Muhafızları Operator', '3366fc8b-48cb-7804-009c-74b072e2dc48']
['4. Seviye Işık Muhafızları Operator', 'e7066739-41cc-c929-3313-a0b414b55fd8']
['Yağmacı Operator', '7bfab387-4e97-d815-4488-c491e3a5520c']
['2. Seviye Yağmacı Operator', 'bf02e33f-4d16-e361-d1ed-1eb58de846c3']
['3. Seviye Yağmacı Operator', '59409cb0-4583-20a4-c905-4db393712af7']
['4. Seviye Yağmacı Operator', '21305a72-4374-67c7-c25b-e0bb8dc2da52']
['ÇAPRAŞIK ÂLEMLER OPERATOR', '65d832e3-4b34-b4b9-fde0-9d897d5fe51b']
['Süvari Operator', '19e0625f-4bcc-5126-014a-008c6df44ba4']
['OPERATOR', '88cba358-4f4d-4d0e-69fc-b48f4c65cb2d']
['Havalı Operator', '35001b1f-49fa-48ad-a087-03809f6f059e']
['Kaplan Operator', '2ecb0e86-4a14-b33b-8fe1-db96f2c3aa69']
['KONVEKS OPERATOR', 'ed333b00-4e88-a9c5-d309-acae85438e93']
['Ebedi Guardian', 'bfbcae59-45a0-c60a-29d5-7f8780f3b0d4']
['RGX 11z Pro Guardian', '43361d49-4331-ee30-e356-0f925e6e17b9']
['2. Seviye RGX 11z Pro Guardian', 'ae053014-4e34-41a4-2d4d-ac87e0498e42']
['3. Seviye RGX 11z Pro Guardian', '7205c0e1-481c-a95d-61ee-f5a1f2de86a4']
['4. Seviye RGX 11z Pro Guardian', '39f873a7-4fff-d29e-45ab-e8ac8823cdd1']
['5. Seviye RGX 11z Pro Guardian', '3595b261-40e6-a344-5689-a7a28128895b']
['VALORANT GO! 1. CİLT GUARDIAN', '920d9d08-4f22-9f1e-b309-ddbbe5ecb91c']
['Neptün Guardian', 'c9ceffba-471d-ed6c-04a5-11b71bef3f60']
['2. Seviye Neptün Guardian', 'aa1d933d-4c1b-28d6-9607-1b95e44621e8']
['3. Seviye Neptün Guardian', 'fcc8ce05-4a54-31d4-f1e6-febd8f8b567e']
["Gaia'nın İntikamı Guardian", 'e16ea577-4d7f-e686-456a-54b4b1d9cba2']
["2. Seviye Gaia'nın İntikamı Guardian", '6a379936-42ac-6988-f462-1abdf52b155a']
["3. Seviye Gaia'nın İntikamı Guardian", 'bde3fb91-4a71-8167-7bc6-64950a02b2dd']
["4. Seviye Gaia'nın İntikamı Guardian", '614d4b74-49d0-7dc3-44c3-558ea0400288']
['Spectrum Guardian', '19ba907b-4a76-347f-ea24-38990c9ff755']
['2. Seviye Spectrum Guardian', 'e03cf7b6-453e-5fb7-3240-11afd5ed4b47']
['3. Seviye Spectrum Guardian', '1fbad515-44c3-123e-8e80-96a4a4bf40ca']
['4. Seviye Spectrum Guardian', 'd4794a6a-4c89-8765-0081-55a61376b10a']
['Yıldız Serüveni Guardian', '9815f9fe-40c5-db68-9ac3-e69c926daf12']
['NEBULA GUARDIAN', 'bf6df430-4e46-5c51-df6f-c2bc3b1cb4fe']
['Derin Sular Guardian', 'f1eaddc9-48fb-1d4e-e8c5-0c90feca333d']
['Nitro Guardian', '03d98493-4964-3f66-7e23-7581bbcfa501']
['ŞAKIYANÇELİK GUARDIAN', '6672800e-442c-a0b5-92d3-ed83483f04df']
['Ateş Püsküren Guardian', '4b46b688-4da9-1a19-1be4-af9cafd7392d']
['ALTIN AFET GUARDIAN', 'c41a7b5d-4a04-a411-053d-818fe1d77ac6']
['Ruh Azabı Guardian', 'f4861ffb-480d-7ddc-f1a3-45a6dfaa4229']
['2. Seviye Ruh Azabı Guardian - Her skorda aktifleşen özel görsel efekt ve ses', '9a839248-4244-ab7f-b5ab-db90b18f9bc8']
['MUHAREBE GUARDIAN', 'a2c59452-4420-130a-9aa1-cb8ea551a05d']
['Ebruli Guardian', '0ab465ed-4539-16f1-b791-5384280e0a1c']
['Asil Guardian', '9336ab9d-445c-0872-a283-9f9b61a0098a']
['2. Seviye Asil Guardian', 'edc646b0-4a5a-6a76-a860-6b8db95bd132']
['3. Seviye Asil Guardian', '14b04b38-4359-62a3-ab62-bcbe715e3fa0']
['4. Seviye Asil Guardian', '99b7b761-41b3-e26c-ceeb-b9a1c3a67736']
['Afet Guardian', '0e1af0d5-4dee-15db-25b5-31a7da6f1d52']
['2. Seviye Afet Guardian', 'e5686279-4ecb-8dd0-bbc1-5cacf998c392']
['3. Seviye Afet Guardian', '972f5a0c-453a-fa8c-c0e6-7ca9dc4b98bb']
['4. Seviye Afet Guardian', '26727126-4b2a-b735-ef3e-df9b98c7bfee']
['Sihirpunk Guardian', 'e63eab09-47e4-25be-6c9f-57995385429d']
['2. Seviye Sihirpunk Guardian', '723343b6-4c37-2591-7892-c187e5c9e3e8']
['3. Seviye Sihirpunk Guardian', '10eb0fb8-4850-c585-57bc-8fa85e52f26a']
['4. Seviye Sihirpunk Guardian', 'ba011f9b-41c5-4aa5-ed42-8a9b148a04f3']
['GALERİ GUARDIAN', '7a0374af-42f5-2f99-b535-a997f2179717']
['Oni Guardian', 'fee2c305-40d1-1cca-08b8-46bceda98eca']
['2. Seviye Oni Guardian', '10db658a-4299-a0cd-8822-feb09adca3ad']
['3. Seviye Oni Guardian', 'fea4c5e9-4028-72b1-0dda-00b9d14026a2']
['4. Seviye Oni Guardian', '9318a2c8-4ccc-bfb4-e7d9-6289608a4ba5']
['9 Canlı Guardian', 'ceb293ef-4b75-7924-f638-e098a14a2788']
['Havai Guardian', 'd52eb83d-4bc0-085d-3ec7-24b2c92281bf']
['KÜBİK TİLKİ GUARDIAN', 'df9044e9-4ed4-4a49-b7ce-babc4a0e23d6']
['Yapboz Guardian', 'cf06c0d6-4c0c-1e8a-0553-999a45a53ae1']
['Rasgele Favori Kaplama', '76587a8a-4622-2e70-aafd-ea960b06a98d']
['Yağmacı Guardian', 'c9f0ea7f-4bed-b10e-62d2-0394444feed1']
['2. Seviye Yağmacı Guardian', 'ad0e9e83-4658-0a02-a912-21b41df87c38']
['3. Seviye Yağmacı Guardian', '09faf945-4be6-ee7f-43d5-9fae75e182ec']
['4. Seviye Yağmacı Guardian', '4e1b9e7d-4cfc-9a14-4fe1-ea9185cdb6d9']
['Fatih Guardian', '8f8f82f4-4133-82c9-50b2-3c9c67e0f9fb']
['2. Seviye Fatih Guardian', '32cf9b7a-4ea1-64f4-1405-32a2ee614bc8']
['3. Seviye Fatih Guardian', '62f258e7-4821-4925-29b3-3ca90972991f']
['4. Seviye Fatih Guardian', '04c6a2a4-400a-b0df-b482-658c59529ee6']
['ÇAPRAŞIK ÂLEMLER GUARDIAN', 'f202625e-4647-b575-07a9-3fbc39d72b10']
['Özel Harekât Guardian', '7bc358d8-42ad-611f-5594-37888c23abe3']
['2. Seviye Özel Harekât Guardian', '6112d121-499c-4be7-fd16-0296b8f663b5']
['3. Seviye Özel Harekât Guardian', '726c71a4-423f-7110-6335-37bfe64a5fdd']
['4. Seviye Özel Harekât Guardian', '28441795-4cf2-4728-f648-2598ee0ff7bd']
['Sonsuz Guardian', '4c51b90b-4629-f1b0-5b53-5aa7fb787be0']
['GUARDIAN', '414d888a-41ce-fcf0-e545-c49018ec9cf4']
['Ego Guardian', 'fa3d6a11-46c4-2caf-f7e4-10a5013c034b']
['809. Özel Kuvvet Marshal', '8c19bbbd-46aa-6037-b0fd-edafd6227de6']
["Gaia'nın İntikamı Marshal", '6046ca8f-4100-4b1a-7e8d-5e8c6625342f']
["2. Seviye Gaia'nın İntikamı Marshal", '33d1d8ec-48fc-a601-8184-ec8249e76760']
["3. Seviye Gaia'nın İntikamı Marshal", '3cf85dde-4695-be31-41e9-c8ac2dd22d07']
["4. Seviye Gaia'nın İntikamı Marshal", 'c8fd6caf-43d1-f3ef-4a5d-1793ad9e558e']
['Rün Cevheri Marshal', '3e87c99d-4a98-15f5-ba6d-0383db725558']
['Karikatürize Marshal', '43ea5cae-4535-7903-f2c9-65bac9642a99']
['2. Seviye Karikatürize Marshal', 'd0712e2e-4550-9ae9-d365-f498e21b50a4']
['ŞAKIYANÇELİK MARSHAL', '3e0a3431-4e78-89d1-ee57-d9837e324ee0']
['Hız Tutkunu Marshal', '90ef24e4-4b7a-f6c6-ca55-abb5379fda34']
['ALTIN AFET MARSHAL', '60dc909f-4c52-b96e-dd37-dfaa2392e373']
['HÜKÜMDAR MARSHAL', 'c9d3f7be-4753-d85c-7a65-a684b6bebf71']
['BUZUL MARSHAL', '4a3b4aaf-4cdd-d5cf-b776-0593c3d2bf9a']
['ÖZEL TASARIM MARSHAL', '115ad37d-4126-20e5-35a5-d691aa97a03c']
['Sihirpunk Marshal', 'b2f78500-4322-b03d-2745-a3b2208d63fe']
['2. Seviye Sihirpunk Marshal', '1b09c0a3-4708-3bec-26b1-e885a5bb313a']
['3. Seviye Sihirpunk Marshal', '9e70420e-4ac5-72c0-6e00-35882e13fc06']
['4. Seviye Sihirpunk Marshal', '3ba019cb-468e-d53a-e92d-c2a3ff804f59']
['Koalisyon: Kobra Marshal', '4dd7d0b9-40a9-de6c-ac61-aea19a6d8a77']
['GALERİ MARSHAL', '50265ad5-4f14-2b32-924e-02bbed2bea6f']
['Kızıl Musibet Marshal', '57a31c23-4742-9bef-740e-c998061d720b']
['2. Seviye Kızıl Musibet Marshal - Her skorda aktifleşen özel görsel efekt ve ses', '55db84f5-4b04-b9a8-6994-30bfe598286d']
['Kübik Kurbağa Marshal', 'f1b4577e-4dd3-6573-472c-a68cfe695d60']
['Uçan Domuzcuk Marshal', '3711156a-43c5-de94-3ccc-ee8bae5e6df0']
['Artizan Marshal', 'c779f43f-47cc-fe29-63aa-bb8b91b36e42']
['Ay Tavşanı Marshal', '5077391c-4106-6b3f-24c4-829be4cfbf38']
['Büyük Çarpışma Marshal', 'c7d5f553-4239-7124-3932-6a83a019d527']
['Rasgele Favori Kaplama', '04b64c56-4a51-88d1-419e-9c91fcdff626']
['Fatih Marshal', 'c5dd6298-4928-5d64-5cd0-7fa41ea89d81']
['2. Seviye Fatih Marshal', '5dfc0af6-4c03-03b0-7066-6ea1770fe6c0']
['3. Seviye Fatih Marshal', '003665b4-4ff3-881b-5c67-3ebd454d4fab']
['4. Seviye Fatih Marshal', 'dd1fee10-42ca-1201-5bf8-399a16b25620']
['MARSHAL', 'f0389390-49eb-a43e-27fa-fc9f9f8aa9de']
['Viran Marshal', '4049dc82-495b-cecc-8e34-4dbf35753129']
['Kış Harikası Marshal', '4fcea818-4877-85f9-ba01-a0b02e1868f4']
['809. Özel Kuvvet Spectre', '303530db-47fe-0e6e-5ea9-0cb5ed61758d']
['RGX 11z Pro Spectre', '737d2d1b-4b47-87a4-6045-5183580d27ec']
['2. Seviye RGX 11z Pro Spectre', '273b3a0a-4bfc-7724-7fe7-7ca3868b3135']
['3. Seviye RGX 11z Pro Spectre', 'b5614b64-47f4-9cb7-71d2-f99afb43a131']
['4. Seviye RGX 11z Pro Spectre', '6aef9ce2-4938-7050-a9d0-fe830cc8b5b7']
['5. Seviye RGX 11z Pro Spectre', '66a49dfe-414c-e55c-4961-51885b097521']
['VALORANT GO! 1. CİLT SPECTRE', '291cb44a-410d-b035-4d0b-608a92c2cd91']
['Neptün Spectre', 'ef773863-472d-4d81-e50e-1d887cea40f4']
['2. Seviye Neptün Spectre', '3f812317-4689-48c1-b546-dd9c9e585560']
['3. Seviye Neptün Spectre', '816d50c3-43e8-1d75-d27e-169c3d4da02f']
['Hücum Spectre', '6c69c2bc-4c7a-6308-8384-a1b2aa00a50b']
['Radyant Krizi 001 Spectre', 'b39aed48-4bb5-089b-3f60-17aa27e45733']
['2. Seviye Radyant Krizi 001 Spectre', 'ecac2484-4837-b580-a15d-0aab63d56dbf']
['3. Seviye Radyant Krizi 001 Spectre', '199d6f90-4a79-9c54-8830-529652499249']
['Yıldız Serüveni Spectre', 'a9e8ca5e-405e-db36-b240-bbb43dca41b1']
['Derin Sular Spectre', '7dd3f419-4a8e-22e1-f546-b1b83ac20f47']
['Anomali Spectre', '3b955119-421c-3319-50cc-1aaf06b42338']
['2. Seviye Anomali Spectre', '53068012-45a5-232e-0bd7-d5aa786c0347']
['3. Seviye Anomali Spectre', 'd9c7f033-42e9-57c8-7e94-dd9294018e44']
['4. Seviye Anomali Spectre', 'ccba3803-510b-4af4-a2bd-f530d8725fd1']
['Sermet Spectre', '3d9792a3-4614-c8e0-6eda-58bb52e69d8b']
['KOLEKTİF SPECTRE', '4d02d9fa-4cb4-4d87-bdf0-97bd5f960c12']
['Hız Tutkunu Spectre', 'fedae3b2-418e-cacf-2d4c-c6bb030d4561']
['Yitik Spectre', 'daa73753-4b56-9d21-d73e-f3b3f4c9b1a6']
['2. Seviye Yitik Spectre', '42c87829-4f30-e11c-6fc7-41a2c04dd900']
['3. Seviye Yitik Spectre', 'd68fc9bc-49db-e4d0-6133-5b88bd69dbf9']
['4. Seviye Yitik Spectre', '28f1fc2f-453b-115a-6859-9d844c1a9fed']
['Hızlı ve Ölümcül Spectre', '5172ea04-432f-2bfb-2163-808ccc2442c3']
['Ruh Azabı Spectre', '2e697099-42dd-4283-4249-fcbd685ecac7']
['2. Seviye Ruh Azabı Spectre - Her skorda aktifleşen özel görsel efekt ve ses', '3524b584-4f5a-6f04-4ca7-f8968eaf4851']
['MUHAREBE SPECTRE', 'dd595229-4aac-73f1-5fad-86891b7d7ecb']
['UFUK SPECTRE', '755d86a0-4b1c-5c8b-9238-e5be850ba001']
['Asil Spectre', 'd1d528ae-4dcc-e693-68e2-e8a475df83a4']
['2. Seviye Asil Spectre', 'd5b3f1de-413c-3b6b-1101-128d408647bf']
['3. Seviye Asil Spectre', '3546dc11-40fe-0ca9-2989-cd80fc53eccc']
['4. Seviye Asil Spectre', 'fefc628b-4078-c57b-dcc7-3591eca5c4d0']
['BUZUL SPECTRE', '5a0cd3b5-4249-bf6f-d009-17a81532660e']
['Prizma Spectre', '481a5abb-45d7-818d-798f-d18d988b6dc1']
['VAKUR SPECTRE', '54ebea37-4cfe-a79b-707d-0d94017a69a6']
['Afet Spectre', '87220abc-49a9-7472-ae09-29a6d711bbc3']
['2. Seviye Afet Spectre', '93e1e10a-49f0-4a06-fe22-d48578f53c6e']
['3. Seviye Afet Spectre', 'e5aae6b1-482e-a508-f706-03a1eb087443']
['4. Seviye Afet Spectre', 'cf105b94-486b-0d11-e82d-df8f02575fb2']
['KINGDOM SPECTRE', 'bd80c562-4c2d-f00a-156e-9190d023098e']
['GÖSTERİŞLİ SPECTRE', '7d43477d-465a-67fc-561e-f2a2ebea697d']
['Sihirpunk Spectre', '7e45e9cd-4072-cc32-0898-d09c167cc0f9']
['2. Seviye Sihirpunk Spectre', '9830e245-477f-15e5-8a49-7697358149cc']
['3. Seviye Sihirpunk Spectre', '83c62a9c-402a-517c-0249-d7961b21824f']
['4. Seviye Sihirpunk Spectre', '5f94f010-4581-ae04-c639-29af06e4b216']
['Sarmal Spectre', 'f2ef87c7-4ff5-54f8-e038-cea4e54eefdd']
['MİNİMA SPECTRE', '1fdbe6f8-42ca-deb2-33da-caa2c4200544']
['İyon Spectre', '8af83962-4e2f-f58e-588e-ef85e4882b79']
['2. Seviye İyon Spectre', 'd1469f2a-4f98-67dc-ad71-6ab75b9e720b']
['3. Seviye İyon Spectre', '1c5a796e-4d2d-ee9f-a9e3-c087f328d9c7']
['4. Seviye İyon Spectre', '3cd34480-4704-e443-fffd-a9a3120b73d6']
['Alaca Spectre', '6803ed34-46cc-ba84-9e58-f78f6538151e']
['Havai Spectre', 'cc3bb43a-4078-e7e6-5b43-3ba42fb9d7fb']
['Kübik Kurbağa Spectre', '49de2762-4a72-6659-9139-0f96ae938649']
['Protokol 781-A Spectre', '5eb7515f-40a1-2f15-de03-c9a024664737']
['2. Seviye Protokol 781-A Spectre', '4b3bcb0e-4391-5c55-043f-408638d0ec46']
['3. Seviye Protokol 781-A Spectre', '216d2295-4331-ed1e-7349-2499d84a6e83']
['4. Seviye Protokol 781-A Spectre', '0b08de26-4b97-3540-54fd-3e8a91162cf8']
['5. Seviye Protokol 781-A Spectre - Yerelleştirilmiş seslendirmeler bölgende farklılık gösterebilir', 'f2339f96-4693-b27d-6e3c-5ba10cf3f6bf']
['Ay Tavşanı Spectre', '83e4f68e-43eb-76f0-46f9-a8a5bd10382f']
['Rasgele Favori Kaplama', '3f14aff8-480e-335a-974f-2ba1817de303']
['Yerçekimsel Uranyum Nöroateşleyici Spectre', '8a1b2c5b-4692-78ae-9d5c-cdac6a61e4f4']
['2. Seviye Yerçekimsel Uranyum Nöroateşleyici Spectre', '984fa47b-4c3f-cb2a-3fdb-098e342a52f3']
['Yağmacı Spectre', '0a0237d3-4d57-0ed2-ab65-c898a7bc755b']
['2. Seviye Yağmacı Spectre', '3c7e7ebd-4b7f-f475-d714-47a52a116c82']
['3. Seviye Yağmacı Spectre', '88257dda-4c34-f3ca-4495-d6b9ebd6ddbf']
['4. Seviye Yağmacı Spectre', 'a8849563-498e-d080-85df-df891c878566']
['Özel Harekât Spectre', '613dd54a-4068-0fab-7670-bf8268a9b76b']
['2. Seviye Özel Harekât Spectre', '2006e869-4d76-294f-c0a1-b3b2f27a4dc2']
['3. Seviye Özel Harekât Spectre', 'dce5c9c1-4a73-659c-1fb9-96974974b151']
['4. Seviye Özel Harekât Spectre', '5171a955-44db-5312-7d62-1398ef5c01cb']
['Sonsuz Spectre', '52907a7c-4570-10d9-d2eb-8991bcfeb2ae']
['SPECTRE', '1dc45e18-4a07-c85f-0020-6da4db1486ce']
['Kaplan Spectre', 'e041ba88-452e-d907-1a83-f6b7631cd053']
['KONVEKS SPECTRE', 'fbe265cf-4e3d-9891-791e-5089f1f7f102']
['BlastX Spectre', 'fdcb9cc0-4877-6f89-02ad-98ab330f3043']
['2. Seviye BlastX Spectre', 'aa524ab2-4a87-81c1-2b07-ba8a5431ad0c']
['3. Seviye BlastX Spectre', '2ece0224-4527-7b27-a7e4-b3bf5cef9532']
['4. Seviye BlastX Spectre', 'db5e997e-4c4f-baac-3e84-5fafe19c97f2']
['Viran Spectre', 'a83ac09d-4c19-fda6-8e4d-c1b77dc2b479']
['Ebedi Stinger', '40243b02-4a32-d406-6b40-bc99e8a6fde2']
['RGX 11z Pro Stinger', '4dbeebb2-4b39-8aec-b639-00bc4948d0f3']
['2. Seviye RGX 11z Pro Stinger', 'd9b56b1b-42b7-10bf-caf6-d594861916a9']
['3. Seviye RGX 11z Pro Stinger', '0d146d58-43be-7cfc-d1f6-cb8441bf5c83']
