['異星獵人 奧丁', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['混沌序幕 短管', '09fded5d-4add-00e7-d3c4-32b8f21c7944']
['混沌序幕 短管 等級2', 'a0708cc3-4f93-228c-fba0-b3938c5efea5']
['混沌序幕 短管 等級3', 'c977106d-4dc7-bbcd-74e4-efab54475915']
['混沌序幕 短管 等級4', '8ca69aa7-451a-1af5-e897-3b9d309e82a4']
['魔術塗鴉 短管', 'deb200a8-447c-0e47-5b92-e8aeb9cd5525']
['魔術塗鴉 短管 等級2', 'ba0193f6-4c7d-1b7f-b9dc-4e883a6ba21a']
['集志詭巢 短管', 'd0a95805-4adb-95f7-3955-339d89769bec']
['極速狂飆 短管', 'c6db7920-4d61-556e-7c06-19954b847cbe']
['哥德復興 短管', '907bab1f-4fca-982e-7645-41a941ef6626']
['無雙君紋 短管', 'a8718add-47cd-30ad-12cf-eea925286a91']
['稜鏡II 短管', '61f62d77-4f80-7664-2ea9-538f6fc4b241']
['天才少女 短管', 'f9688e62-42c5-9f10-f160-49abaee2e02c']
['宇宙創始 短管', 'f5f8fb4f-4c3a-ee60-ed0c-bfb8cded09fc']
['惡鬼 短管', 'a2950772-447a-f2db-be24-19b0e0ed736f']
['惡鬼 短管 等級2', '75a66462-49d7-134a-03e1-bc8c3b7fda7a']
['惡鬼 短管 等級3', '02461d7f-4f0a-f25f-94b2-ee960d0734d7']
['惡鬼 短管 等級4', '25e2a599-4564-708a-b80e-afbeb6781372']
['致命蛇吻 短管', '6f90d1ed-4acc-d925-4a8a-60913f14d16b']
['玩轉色彩 短管', '31629ef7-47ac-908e-369b-16beabc02c5b']
['隨機最愛造型', '6afa5e36-4a90-7a2c-30b7-23be5ba2588b']
['短管', 'a7f92a1c-4465-5ea3-7745-bd876117f4a7']
['街頭藝術 短管', '1db941af-4587-c6a4-5885-dbb77fefcb32']
['金虎嘯天 短管', '9f282aa1-4d3e-7595-83ca-0a97fc89ba31']
['尋路者 短管', '673149d4-463f-27a5-163f-78a599244fc3']
['煙漠荒土 短管', 'a88a4c80-4913-a111-0fba-878adddd381a']
['RGX 11z Pro 間諜', '2ad7a62f-4091-ecba-de21-d19edfb41086']
['RGX 11z Pro 間諜 等級2', '873e2729-4986-6471-2c75-298a5e9205e3']
['RGX 11z Pro 間諜 等級3', '6c940bdf-45a9-583f-7d14-028b380ed37b']
['RGX 11z Pro 間諜 等級4', '2f1221b2-4e99-a2e7-4f63-0e9c6dab5b62']
['RGX 11z Pro 間諜 等級5', '2084911a-479d-14e5-13b4-b3856a39885e']
['特戰英豪 GO！第2集 間諜', '68811d2b-4a6d-cbdc-39d3-f580aa97a297']
['異星霸主 間諜', 'bf2da3c9-43aa-5a37-9958-2a805298951f']
['異星霸主 間諜 等級2', '0dca1fcb-4484-5e4d-f15c-a3985b2bec33']
['異星霸主 間諜 等級3', '4e0b18ce-4658-bdfd-7097-17bffb168886']
['異星霸主 間諜 等級4', '34ccb66a-489f-f120-b9ef-739f4af36549']
['太空漫遊 間諜', 'fd486ca0-4d52-4e9b-ec35-dc8cd450b679']
['起源 間諜', '4d19c241-4350-6658-f5a6-5c99ca8e5e99']
['起源 間諜 等級2', 'b225c7d3-4ab2-e703-1e5a-f2885730e81c']
['起源 間諜 等級3', 'a2fff901-4bf8-3029-ab04-da96f8b9a73e']
['起源 間諜 等級4', '99bf69d9-4451-cfb4-456f-c3b5cc4fcf5e']
['閃電衝鋒 間諜', '3cd5ed19-405b-9600-489f-4e84900ea2d3']
['紅色警戒 間諜', 'fc4c9003-4069-d351-e0b5-03b509638c2c']
['電幻普普 間諜', 'd92a6ee6-4073-8b7f-e944-f1a55606a28a']
['電幻普普 間諜 等級2', 'e2b3a374-4e26-0d5c-45cd-9490013b21ef']
['電幻普普 間諜 等級3', '95695ed5-4b4b-01a9-ba22-86981af7d2f2']
['電幻普普 間諜 等級4', 'e177f0db-46fc-d779-fbea-d488780c322c']
['混沌序幕 間諜', '7c89312b-45fb-a892-4525-659ba3de4475']
['混沌序幕 間諜 等級2', '2532802b-4090-340a-1ebc-7cad0600d09a']
['混沌序幕 間諜 等級3', '79d28c39-4418-2b35-74ef-989c4e270f87']
['混沌序幕 間諜 等級4', '77b80391-46c8-f950-0f28-15bf5dea85b6']
['至尊龍燄 間諜', '5c273d0e-47fa-bb8c-d914-728de95da30e']
['至尊龍燄 間諜 等級2', 'ea7094b7-4f29-2570-0003-14a9b872fc19']
['至尊龍燄 間諜 等級3', '02567ece-47a2-a68b-7853-668f45ab0ab0']
['至尊龍燄 間諜 等級4', '41ad7696-47bf-cd88-115b-9cb17ad77919']
['閃硝精武 間諜', 'f49ac94f-4965-1e13-e293-a9838b042a83']
['棄王遺思 間諜', '10a5fe91-4efa-9d6b-44f7-47ae9660550d']
['棄王遺思 間諜 等級2', '995b9baa-4335-6ff8-5868-bba728958de5']
['棄王遺思 間諜 等級3', 'd542977e-4c98-1e6a-583f-7fa169afabba']
['棄王遺思 間諜 等級4', 'a2774d57-4703-9acc-7cd9-a2895b754c51']
['王牌戰隊 間諜', '4491f330-4d30-04f7-d609-4face7e5bd5f']
['火噴英烈 間諜', 'fd6e9471-490c-b17e-f17e-a7820f3d36a2']
['機動步兵 間諜', 'e7301730-418f-e0fb-c930-9598741d5c30']
['稜鏡 間諜', '37851a69-4719-d8ae-d305-49bcee8d853c']
['K/TAC 間諜', 'e045334d-4b19-26df-739c-f89fd561714f']
['赤珀墨松 間諜', '1fe051aa-40e9-3ff6-585a-e384f0197224']
['虹鏡荊棘 間諜', 'd4a5f5a7-4831-f240-fac7-bfa06b50cd73']
['稀土金屬 間諜', 'e5a2e04a-4805-1244-5376-06b40d7c6cbb']
['奇幻龐克 間諜', '369c9f89-49fa-94bc-f3f8-b9b94b6395af']
['奇幻龐克 間諜 等級2', 'f70b8147-4f4a-506e-6b3b-aca8b7b84f40']
['奇幻龐克 間諜 等級3', '66cf7185-4989-a3c5-6ad3-fcb7858b81cb']
['奇幻龐克 間諜 等級4', '7481ec87-4a9f-e4cf-d898-e0bd750e3b0c']
['百轉弧光 間諜', '4c053776-467f-2c6a-b609-0ba3ea371a14']
['極簡武力 間諜', '436f42cc-49c5-b535-4fdf-c0bd48695919']
['密林樹神 間諜', '49b00063-4a7e-6c73-b8c9-68a8d5727757']
['宇宙創始 間諜', '8f557248-48e2-28a5-3ad4-eca783fde786']
['離子聖芒 間諜', '24c73c29-443c-2440-d6db-838086f2451a']
['離子聖芒 間諜 等級2', '8a0328e1-4067-ddaa-fb06-e6ab0c0c9a54']
['離子聖芒 間諜 等級3', '65888fca-4a1d-da64-8735-8495d86338ca']
['離子聖芒 間諜 等級4', '4ffc2ae6-4501-2c43-a105-f4977a0a207e']
['深度凍結 間諜', '932f4704-44ec-b931-0141-a8b364c0f7b5']
['深度凍結 間諜 等級2', 'f3bf94f9-4b58-cbe1-8c61-66a593c08b50']
['深度凍結 間諜 等級3', '2513e405-456e-cc67-7aee-fea2c6f16595']
['隨機最愛造型', 'd0ef50dc-4a62-1ac1-a276-1f8d1b47a7b0']
['重力鈾能神經爆破者 間諜', '4aa31563-44e1-0d9f-f95a-a1b9965ad762']
['重力鈾能神經爆破者 間諜 等級2', 'd3b07995-4ab5-7593-f3ff-b6ad7e8599d0']
['光之哨兵 間諜', '69657d05-4309-9779-d445-6da864067246']
['光之哨兵 間諜 等級2', '997e0365-4152-fcd5-dc81-e3bdfd012815']
['光之哨兵 間諜 等級3', '3366fc8b-48cb-7804-009c-74b072e2dc48']
['光之哨兵 間諜 等級4', 'e7066739-41cc-c929-3313-a0b414b55fd8']
['掠奪印象 間諜', '7bfab387-4e97-d815-4488-c491e3a5520c']
['掠奪印象 間諜 等級2', 'bf02e33f-4d16-e361-d1ed-1eb58de846c3']
['掠奪印象 間諜 等級3', '59409cb0-4583-20a4-c905-4db393712af7']
['掠奪印象 間諜 等級4', '21305a72-4374-67c7-c25b-e0bb8dc2da52']
['祕繫之域 間諜', '65d832e3-4b34-b4b9-fde0-9d897d5fe51b']
['銀閃騎兵 間諜', '19e0625f-4bcc-5126-014a-008c6df44ba4']
['間諜', '88cba358-4f4d-4d0e-69fc-b48f4c65cb2d']
['街頭藝術 間諜', '35001b1f-49fa-48ad-a087-03809f6f059e']
['金虎嘯天 間諜', '2ecb0e86-4a14-b33b-8fe1-db96f2c3aa69']
['異裝凸鏡 間諜', 'ed333b00-4e88-a9c5-d309-acae85438e93']
['千古不滅 捍衛者', 'bfbcae59-45a0-c60a-29d5-7f8780f3b0d4']
['RGX 11z Pro 捍衛者', '43361d49-4331-ee30-e356-0f925e6e17b9']
['RGX 11z Pro 捍衛者 等級2', 'ae053014-4e34-41a4-2d4d-ac87e0498e42']
['RGX 11z Pro 捍衛者 等級3', '7205c0e1-481c-a95d-61ee-f5a1f2de86a4']
['RGX 11z Pro 捍衛者 等級4', '39f873a7-4fff-d29e-45ab-e8ac8823cdd1']
['RGX 11z Pro 捍衛者 等級5', '3595b261-40e6-a344-5689-a7a28128895b']
['特戰英豪 GO！第1集 捍衛者', '920d9d08-4f22-9f1e-b309-ddbbe5ecb91c']
['海洋星球 捍衛者', 'c9ceffba-471d-ed6c-04a5-11b71bef3f60']
['海洋星球 捍衛者 等級2', 'aa1d933d-4c1b-28d6-9607-1b95e44621e8']
['海洋星球 捍衛者 等級3', 'fcc8ce05-4a54-31d4-f1e6-febd8f8b567e']
['蓋亞復仇 捍衛者', 'e16ea577-4d7f-e686-456a-54b4b1d9cba2']
['蓋亞復仇 捍衛者 等級2', '6a379936-42ac-6988-f462-1abdf52b155a']
['蓋亞復仇 捍衛者 等級3', 'bde3fb91-4a71-8167-7bc6-64950a02b2dd']
['蓋亞復仇 捍衛者 等級4', '614d4b74-49d0-7dc3-44c3-558ea0400288']
['光炫聲譜 捍衛者', '19ba907b-4a76-347f-ea24-38990c9ff755']
['光炫聲譜 捍衛者 等級2', 'e03cf7b6-453e-5fb7-3240-11afd5ed4b47']
['光炫聲譜 捍衛者 等級3', '1fbad515-44c3-123e-8e80-96a4a4bf40ca']
['光炫聲譜 捍衛者 等級4', 'd4794a6a-4c89-8765-0081-55a61376b10a']
['星光漫旅 捍衛者', '9815f9fe-40c5-db68-9ac3-e69c926daf12']
['百變星雲 捍衛者', 'bf6df430-4e46-5c51-df6f-c2bc3b1cb4fe']
['無盡海淵 捍衛者', 'f1eaddc9-48fb-1d4e-e8c5-0c90feca333d']
['閃硝精武 捍衛者', '03d98493-4964-3f66-7e23-7581bbcfa501']
['冷銀祕鋼 捍衛者', '6672800e-442c-a0b5-92d3-ed83483f04df']
['火噴英烈 捍衛者', '4b46b688-4da9-1a19-1be4-af9cafd7392d']
['哥德復興 捍衛者', 'c41a7b5d-4a04-a411-053d-818fe1d77ac6']
['靈爭鬪魂 捍衛者', 'f4861ffb-480d-7ddc-f1a3-45a6dfaa4229']
['靈爭鬪魂 捍衛者 等級2：每次擊殺敵人時，都會播放專屬視覺特效及音效', '9a839248-4244-ab7f-b5ab-db90b18f9bc8']
['機動步兵 捍衛者', 'a2c59452-4420-130a-9aa1-cb8ea551a05d']
['旋藝水印 捍衛者', '0ab465ed-4539-16f1-b791-5384280e0a1c']
['紫金狂潮 捍衛者', '9336ab9d-445c-0872-a283-9f9b61a0098a']
['紫金狂潮 捍衛者 等級2', 'edc646b0-4a5a-6a76-a860-6b8db95bd132']
['紫金狂潮 捍衛者 等級3', '14b04b38-4359-62a3-ab62-bcbe715e3fa0']
['紫金狂潮 捍衛者 等級4', '99b7b761-41b3-e26c-ceeb-b9a1c3a67736']
['殞落詛咒 捍衛者', '0e1af0d5-4dee-15db-25b5-31a7da6f1d52']
['殞落詛咒 捍衛者 等級2', 'e5686279-4ecb-8dd0-bbc1-5cacf998c392']
['殞落詛咒 捍衛者 等級3', '972f5a0c-453a-fa8c-c0e6-7ca9dc4b98bb']
['殞落詛咒 捍衛者 等級4', '26727126-4b2a-b735-ef3e-df9b98c7bfee']
['奇幻龐克 捍衛者', 'e63eab09-47e4-25be-6c9f-57995385429d']
['奇幻龐克 捍衛者 等級2', '723343b6-4c37-2591-7892-c187e5c9e3e8']
['奇幻龐克 捍衛者 等級3', '10eb0fb8-4850-c585-57bc-8fa85e52f26a']
['奇幻龐克 捍衛者 等級4', 'ba011f9b-41c5-4aa5-ed42-8a9b148a04f3']
['藝境 捍衛者', '7a0374af-42f5-2f99-b535-a997f2179717']
['惡鬼 捍衛者', 'fee2c305-40d1-1cca-08b8-46bceda98eca']
['惡鬼 捍衛者 等級2', '10db658a-4299-a0cd-8822-feb09adca3ad']
['惡鬼 捍衛者 等級3', 'fea4c5e9-4028-72b1-0dda-00b9d14026a2']
['惡鬼 捍衛者 等級4', '9318a2c8-4ccc-bfb4-e7d9-6289608a4ba5']
['九命靈貓 捍衛者', 'ceb293ef-4b75-7924-f638-e098a14a2788']
['航創未來 捍衛者', 'd52eb83d-4bc0-085d-3ec7-24b2c92281bf']
['極限稜狐 捍衛者', 'df9044e9-4ed4-4a49-b7ce-babc4a0e23d6']
['拼圖狂想曲 捍衛者', 'cf06c0d6-4c0c-1e8a-0553-999a45a53ae1']
['隨機最愛造型', '76587a8a-4622-2e70-aafd-ea960b06a98d']
['掠奪印象 捍衛者', 'c9f0ea7f-4bed-b10e-62d2-0394444feed1']
['掠奪印象 捍衛者 等級2', 'ad0e9e83-4658-0a02-a912-21b41df87c38']
['掠奪印象 捍衛者 等級3', '09faf945-4be6-ee7f-43d5-9fae75e182ec']
['掠奪印象 捍衛者 等級4', '4e1b9e7d-4cfc-9a14-4fe1-ea9185cdb6d9']
['鎏金帝王 捍衛者', '8f8f82f4-4133-82c9-50b2-3c9c67e0f9fb']
['鎏金帝王 捍衛者 等級2', '32cf9b7a-4ea1-64f4-1405-32a2ee614bc8']
['鎏金帝王 捍衛者 等級3', '62f258e7-4821-4925-29b3-3ca90972991f']
['鎏金帝王 捍衛者 等級4', '04c6a2a4-400a-b0df-b482-658c59529ee6']
['祕繫之域 捍衛者', 'f202625e-4647-b575-07a9-3fbc39d72b10']
['偵察行動 捍衛者', '7bc358d8-42ad-611f-5594-37888c23abe3']
['偵察行動 捍衛者 等級2', '6112d121-499c-4be7-fd16-0296b8f663b5']
['偵察行動 捍衛者 等級3', '726c71a4-423f-7110-6335-37bfe64a5fdd']
['偵察行動 捍衛者 等級4', '28441795-4cf2-4728-f648-2598ee0ff7bd']
['極速無限 捍衛者', '4c51b90b-4629-f1b0-5b53-5aa7fb787be0']
['捍衛者', '414d888a-41ce-fcf0-e545-c49018ec9cf4']
['無人之境 捍衛者', 'fa3d6a11-46c4-2caf-f7e4-10a5013c034b']
['809特遣隊 警長', '8c19bbbd-46aa-6037-b0fd-edafd6227de6']
['蓋亞復仇 警長', '6046ca8f-4100-4b1a-7e8d-5e8c6625342f']
['蓋亞復仇 警長 等級2', '33d1d8ec-48fc-a601-8184-ec8249e76760']
['蓋亞復仇 警長 等級3', '3cf85dde-4695-be31-41e9-c8ac2dd22d07']
['蓋亞復仇 警長 等級4', 'c8fd6caf-43d1-f3ef-4a5d-1793ad9e558e']
['符文石典 警長', '3e87c99d-4a98-15f5-ba6d-0383db725558']
['魔術塗鴉 警長', '43ea5cae-4535-7903-f2c9-65bac9642a99']
['魔術塗鴉 警長 等級2', 'd0712e2e-4550-9ae9-d365-f498e21b50a4']
['冷銀祕鋼 警長', '3e0a3431-4e78-89d1-ee57-d9837e324ee0']
['流體效應 警長', '90ef24e4-4b7a-f6c6-ca55-abb5379fda34']
['哥德復興 警長', '60dc909f-4c52-b96e-dd37-dfaa2392e373']
['無雙君紋 警長', 'c9d3f7be-4753-d85c-7a65-a684b6bebf71']
['雪崩 警長', '4a3b4aaf-4cdd-d5cf-b776-0593c3d2bf9a']
['時裝 警長', '115ad37d-4126-20e5-35a5-d691aa97a03c']
['奇幻龐克 警長', 'b2f78500-4322-b03d-2745-a3b2208d63fe']
['奇幻龐克 警長 等級2', '1b09c0a3-4708-3bec-26b1-e885a5bb313a']
['奇幻龐克 警長 等級3', '9e70420e-4ac5-72c0-6e00-35882e13fc06']
['奇幻龐克 警長 等級4', '3ba019cb-468e-d53a-e92d-c2a3ff804f59']
['眼鏡蛇聯軍 警長', '4dd7d0b9-40a9-de6c-ac61-aea19a6d8a77']
['藝境 警長', '50265ad5-4f14-2b32-924e-02bbed2bea6f']
['紅蓮猛獸 警長', '57a31c23-4742-9bef-740e-c998061d720b']
['紅蓮猛獸 警長 等級2：每次擊殺敵人時，都會播放專屬視覺特效及音效。', '55db84f5-4b04-b9a8-6994-30bfe598286d']
['極限稜蛙 警長', 'f1b4577e-4dd3-6573-472c-a68cfe695d60']
['天使豬 警長', '3711156a-43c5-de94-3ccc-ee8bae5e6df0']
['瓷藝匠心 警長', 'c779f43f-47cc-fe29-63aa-bb8b91b36e42']
['流光玉兔 警長', '5077391c-4106-6b3f-24c4-829be4cfbf38']
['輻能衝撞 警長', 'c7d5f553-4239-7124-3932-6a83a019d527']
['隨機最愛造型', '04b64c56-4a51-88d1-419e-9c91fcdff626']
['鎏金帝王 警長', 'c5dd6298-4928-5d64-5cd0-7fa41ea89d81']
['鎏金帝王 警長 等級2', '5dfc0af6-4c03-03b0-7066-6ea1770fe6c0']
['鎏金帝王 警長 等級3', '003665b4-4ff3-881b-5c67-3ebd454d4fab']
['鎏金帝王 警長 等級4', 'dd1fee10-42ca-1201-5bf8-399a16b25620']
['警長', 'f0389390-49eb-a43e-27fa-fc9f9f8aa9de']
['煙漠荒土 警長', '4049dc82-495b-cecc-8e34-4dbf35753129']
['冬慶樂園 警長', '4fcea818-4877-85f9-ba01-a0b02e1868f4']
['809特遣隊 惡靈', '303530db-47fe-0e6e-5ea9-0cb5ed61758d']
['RGX 11z Pro 惡靈', '737d2d1b-4b47-87a4-6045-5183580d27ec']
['RGX 11z Pro 惡靈 等級2', '273b3a0a-4bfc-7724-7fe7-7ca3868b3135']
['RGX 11z Pro 惡靈 等級3', 'b5614b64-47f4-9cb7-71d2-f99afb43a131']
['RGX 11z Pro 惡靈 等級4', '6aef9ce2-4938-7050-a9d0-fe830cc8b5b7']
['RGX 11z Pro 惡靈 等級5', '66a49dfe-414c-e55c-4961-51885b097521']
['特戰英豪 GO！第1集 惡靈', '291cb44a-410d-b035-4d0b-608a92c2cd91']
['海洋星球 惡靈', 'ef773863-472d-4d81-e50e-1d887cea40f4']
['海洋星球 惡靈 等級2', '3f812317-4689-48c1-b546-dd9c9e585560']
['海洋星球 惡靈 等級3', '816d50c3-43e8-1d75-d27e-169c3d4da02f']
['閃電衝鋒 惡靈', '6c69c2bc-4c7a-6308-8384-a1b2aa00a50b']
['輻能危機001 惡靈', 'b39aed48-4bb5-089b-3f60-17aa27e45733']
['輻能危機001 惡靈 等級2', 'ecac2484-4837-b580-a15d-0aab63d56dbf']
['輻能危機001 惡靈 等級3', '199d6f90-4a79-9c54-8830-529652499249']
['星光漫旅 惡靈', 'a9e8ca5e-405e-db36-b240-bbb43dca41b1']
['無盡海淵 惡靈', '7dd3f419-4a8e-22e1-f546-b1b83ac20f47']
['奇點 惡靈', '3b955119-421c-3319-50cc-1aaf06b42338']
['奇點 惡靈 等級2', '53068012-45a5-232e-0bd7-d5aa786c0347']
['奇點 惡靈 等級3', 'd9c7f033-42e9-57c8-7e94-dd9294018e44']
['奇點 惡靈 等級4', 'ccba3803-510b-4af4-a2bd-f530d8725fd1']
['永恆之沙 惡靈', '3d9792a3-4614-c8e0-6eda-58bb52e69d8b']
['集志詭巢 惡靈', '4d02d9fa-4cb4-4d87-bdf0-97bd5f960c12']
['流體效應 惡靈', 'fedae3b2-418e-cacf-2d4c-c6bb030d4561']
['棄王遺思 惡靈', 'daa73753-4b56-9d21-d73e-f3b3f4c9b1a6']
['棄王遺思 惡靈 等級2', '42c87829-4f30-e11c-6fc7-41a2c04dd900']
['棄王遺思 惡靈 等級3', 'd68fc9bc-49db-e4d0-6133-5b88bd69dbf9']
['棄王遺思 惡靈 等級4', '28f1fc2f-453b-115a-6859-9d844c1a9fed']
['極速狂飆 惡靈', '5172ea04-432f-2bfb-2163-808ccc2442c3']
['靈爭鬪魂 惡靈', '2e697099-42dd-4283-4249-fcbd685ecac7']
['靈爭鬪魂 惡靈 等級2：每次擊殺敵人時，都會播放專屬視覺特效及音效', '3524b584-4f5a-6f04-4ca7-f8968eaf4851']
['機動步兵 惡靈', 'dd595229-4aac-73f1-5fad-86891b7d7ecb']
['地界燦霞 惡靈', '755d86a0-4b1c-5c8b-9238-e5be850ba001']
['紫金狂潮 惡靈', 'd1d528ae-4dcc-e693-68e2-e8a475df83a4']
['紫金狂潮 惡靈 等級2', 'd5b3f1de-413c-3b6b-1101-128d408647bf']
['紫金狂潮 惡靈 等級3', '3546dc11-40fe-0ca9-2989-cd80fc53eccc']
['紫金狂潮 惡靈 等級4', 'fefc628b-4078-c57b-dcc7-3591eca5c4d0']
['雪崩 惡靈', '5a0cd3b5-4249-bf6f-d009-17a81532660e']
['稜鏡 惡靈', '481a5abb-45d7-818d-798f-d18d988b6dc1']
['奢雕剛玉 惡靈', '54ebea37-4cfe-a79b-707d-0d94017a69a6']
['殞落詛咒 惡靈', '87220abc-49a9-7472-ae09-29a6d711bbc3']
['殞落詛咒 惡靈 等級2', '93e1e10a-49f0-4a06-fe22-d48578f53c6e']
['殞落詛咒 惡靈 等級3', 'e5aae6b1-482e-a508-f706-03a1eb087443']
['殞落詛咒 惡靈 等級4', 'cf105b94-486b-0d11-e82d-df8f02575fb2']
['王國 惡靈', 'bd80c562-4c2d-f00a-156e-9190d023098e']
['稀土金屬 惡靈', '7d43477d-465a-67fc-561e-f2a2ebea697d']
['奇幻龐克 惡靈', '7e45e9cd-4072-cc32-0898-d09c167cc0f9']
['奇幻龐克 惡靈 等級2', '9830e245-477f-15e5-8a49-7697358149cc']
['奇幻龐克 惡靈 等級3', '83c62a9c-402a-517c-0249-d7961b21824f']
['奇幻龐克 惡靈 等級4', '5f94f010-4581-ae04-c639-29af06e4b216']
['百轉弧光 惡靈', 'f2ef87c7-4ff5-54f8-e038-cea4e54eefdd']
['極簡武力 惡靈', '1fdbe6f8-42ca-deb2-33da-caa2c4200544']
['離子聖芒 惡靈', '8af83962-4e2f-f58e-588e-ef85e4882b79']
['離子聖芒 惡靈 等級2', 'd1469f2a-4f98-67dc-ad71-6ab75b9e720b']
['離子聖芒 惡靈 等級3', '1c5a796e-4d2d-ee9f-a9e3-c087f328d9c7']
['離子聖芒 惡靈 等級4', '3cd34480-4704-e443-fffd-a9a3120b73d6']
['玩轉色彩 惡靈', '6803ed34-46cc-ba84-9e58-f78f6538151e']
['航創未來 惡靈', 'cc3bb43a-4078-e7e6-5b43-3ba42fb9d7fb']
['極限稜蛙 惡靈', '49de2762-4a72-6659-9139-0f96ae938649']
['781-A協定 惡靈', '5eb7515f-40a1-2f15-de03-c9a024664737']
['781-A協定 惡靈 等級2', '4b3bcb0e-4391-5c55-043f-408638d0ec46']
['781-A協定 惡靈 等級3', '216d2295-4331-ed1e-7349-2499d84a6e83']
['781-A協定 惡靈 等級4', '0b08de26-4b97-3540-54fd-3e8a91162cf8']
['781-A協定 惡靈 等級5：在地化語音可能會因地區而異', 'f2339f96-4693-b27d-6e3c-5ba10cf3f6bf']
['流光玉兔 惡靈', '83e4f68e-43eb-76f0-46f9-a8a5bd10382f']
['隨機最愛造型', '3f14aff8-480e-335a-974f-2ba1817de303']
['重力鈾能神經爆破者 惡靈', '8a1b2c5b-4692-78ae-9d5c-cdac6a61e4f4']
['重力鈾能神經爆破者 惡靈 等級2', '984fa47b-4c3f-cb2a-3fdb-098e342a52f3']
['掠奪印象 惡靈', '0a0237d3-4d57-0ed2-ab65-c898a7bc755b']
['掠奪印象 惡靈 等級2', '3c7e7ebd-4b7f-f475-d714-47a52a116c82']
['掠奪印象 惡靈 等級3', '88257dda-4c34-f3ca-4495-d6b9ebd6ddbf']
['掠奪印象 惡靈 等級4', 'a8849563-498e-d080-85df-df891c878566']
['偵察行動 惡靈', '613dd54a-4068-0fab-7670-bf8268a9b76b']
['偵察行動 惡靈 等級2', '2006e869-4d76-294f-c0a1-b3b2f27a4dc2']
['偵察行動 惡靈 等級3', 'dce5c9c1-4a73-659c-1fb9-96974974b151']
['偵察行動 惡靈 等級4', '5171a955-44db-5312-7d62-1398ef5c01cb']
['極速無限 惡靈', '52907a7c-4570-10d9-d2eb-8991bcfeb2ae']
['惡靈', '1dc45e18-4a07-c85f-0020-6da4db1486ce']
['金虎嘯天 惡靈', 'e041ba88-452e-d907-1a83-f6b7631cd053']
['異裝凸鏡 惡靈', 'fbe265cf-4e3d-9891-791e-5089f1f7f102']
['咻咻X 惡靈', 'fdcb9cc0-4877-6f89-02ad-98ab330f3043']
['咻咻X 惡靈 等級2', 'aa524ab2-4a87-81c1-2b07-ba8a5431ad0c']
['咻咻X 惡靈 等級3', '2ece0224-4527-7b27-a7e4-b3bf5cef9532']
['咻咻X 惡靈 等級4', 'db5e997e-4c4f-baac-3e84-5fafe19c97f2']
['煙漠荒土 惡靈', 'a83ac09d-4c19-fda6-8e4d-c1b77dc2b479']
['千古不滅 刺針', '40243b02-4a32-d406-6b40-bc99e8a6fde2']
['RGX 11z Pro 刺針', '4dbeebb2-4b39-8aec-b639-00bc4948d0f3']
['RGX 11z Pro 刺針 等級2', 'd9b56b1b-42b7-10bf-caf6-d594861916a9']
['RGX 11z Pro 刺針 等級3', '0d146d58-43be-7cfc-d1f6-cb8441bf5c83']
['RGX 11z Pro 刺針 等級4', '6a538b3d-4a6c-933d-6b01-d0a20b8ab5bb']
['RGX 11z Pro 刺針 等級5', '7dd59c7b-4ca4-1638-4a10-cb998d6b84c8']
['貴族 刺針', 'df37b069-48b2-0a7c-78ea-5b8eedc684f7']
['紅色警戒 刺針', 'cd9beda3-4042-d79e-6d46-4daa61484362']
['混沌序幕 刺針', '5611fa1c-45bb-6c46-73cd-209031e72524']
['混沌序幕 刺針 等級2', 'a8e8fc20-498e-b869-3858-d3802af9c4b8']
['混沌序幕 刺針 等級3', '281add0f-4b05-aa0e-0d98-e491d72b0a1f']
['混沌序幕 刺針 等級4', '9bbb7ff3-4681-f961-a880-819fa2fd813a']
['魔術塗鴉 刺針', '0a6790a2-4ddf-56aa-26e4-44b45d050060']
['魔術塗鴉 刺針 等級2', '082de448-49d3-d65d-e9c0-17949cd33422']
['電浪流藝 刺針', '77d5c1dc-4dde-539c-3a5a-0a95eecba1e4']
['微光之塵 刺針', '2c6fa705-433a-5f9e-294b-b39eef964b8c']
['.SYS 刺針', '50e072a5-4f30-63a9-6dee-a8b33781269f']
['稜鏡II 刺針', 'b5f7b00a-4c4b-a3d5-d2cc-fbb62c482ef6']
['時裝 刺針', '84a414f6-4fe4-98ff-8d4e-b5866894c436']
['密林樹神 刺針', 'd547c575-4572-9d77-42e5-bea022e5f07b']
['漆彩轟擊 刺針', 'fed9c3f3-40a5-da67-4ac9-4683cc5a0eba']
['隨機最愛造型', 'caea8844-4603-951f-c458-25a04a778bf8']
['櫻花 刺針', 'e2c84381-4fa6-29b4-37b9-21bba8ae24bf']
['設計稿 刺針', '0329743b-4ce8-be9f-b531-f4aadc890287']
['狼人剋星 刺針', '7ffbef55-4108-945e-6bc9-7b897f386d1b']
['鎏金帝王 刺針', '9bc535dd-4d91-3421-2cd0-7a8fdad3478b']
['鎏金帝王 刺針 等級2', '1a8d4093-4e8f-dfe8-9412-e3955662f09c']
['鎏金帝王 刺針 等級3', '5e5fd361-4954-2287-012f-f68f624fc879']
['鎏金帝王 刺針 等級4', 'b17c1df5-412c-a9bc-fd65-e6afb421b13d']
['銀閃騎兵 刺針', '7b71fc11-4fa2-c84c-31ec-5eb5c3e3fff3']
